case_id,case_type,publicity_level,jurisdiction,source_org,case_title,publish_date,url,snapshot_path,usable_for_validation,expected_module,available_artifacts,limitations,priority,publisher,category,usage,report_usage,summary,suitable_for,module,knowledge_url
CN-CASE-001,official_practice,high,cn-beijing,开放北京/北京市网信部门,北京落地全国首个数据出境安全评估和首个标准合同合规出境案例,2024-04-30,https://open.beijing.gov.cn/html/kfdt/sddt/2024/4/1714380251022.html,resources/legal/cn-assessment/snapshots/beijing_2024_first_security_assessment_and_standard_contract_case.html,yes,diagnosis|assessment|scc,官方事实描述+流程信息,无完整合同正文和企业底稿,P0,开放北京/北京市网信部门,典型案例,案例参考,不直接写入正式报告,该案例展示了中国首个公开落地的安全评估与标准合同实践，可用于说明路径选择与落地办理的现实样态。,评估申报、标准合同、路径判断,cn-assessment,/knowledge/cases/CN-CASE-001
CN-CASE-002,official_practice,high,cn-beijing,开放北京,拜耳（中国）通过数据跨境绿色通道（安全评估案例）,2025-03-19,https://open.beijing.gov.cn/html/kfdt/sddt/2025/3/1742369936095.html,resources/legal/cn-assessment/snapshots/beijing_2025_03_bayer_green_channel_case.html,yes,assessment,企业场景摘要+监管通过事实,无申报材料原文,P0,开放北京,典型案例,案例参考,不直接写入正式报告,拜耳案例适合作为安全评估绿色通道与企业申报落地节奏的实践说明材料。,评估申报,cn-assessment,/knowledge/cases/CN-CASE-002
CN-CASE-003,official_stats,high,cn-beijing,开放北京,北京数据跨境流动便利化2.0阶段性统计与实践,2025-03-25,https://open.beijing.gov.cn/html/kfdt/sddt/2025/3/1742899849483.html,resources/legal/cn-assessment/snapshots/beijing_2025_03_crossborder_reform_2_0_stats.html,partial,assessment|scc,统计指标+场景类型,不含可逐条审查合同文本,P1,开放北京,实践统计,案例参考,不直接写入正式报告,北京数据跨境便利化2.0统计材料适合作为实践趋势、场景覆盖面和制度推进效果的辅助说明。,评估申报、标准合同,cn-assessment,/knowledge/cases/CN-CASE-003
CN-CASE-004,official_practice,medium,cn-beijing,开放北京,汽车OTA场景标准合同备案实践（示例）,2025-06-30,https://open.beijing.gov.cn/html/kfdt/sddt/2025/6/1751279759421.html,resources/legal/cn-review/snapshots/beijing_2025_06_automotive_ota_crossborder_case.html,yes,scc,场景描述+办理路径,条款级细节不完整,P1,开放北京,典型案例,案例参考,不直接写入正式报告,汽车OTA场景案例可用于说明标准合同备案类场景的行业化适用路径和办理方式。,标准合同、文档审查,cn-review,/knowledge/cases/CN-CASE-004
CN-CASE-005,judicial_case,medium,cn-guangdong,广东政法网,广州互联网法院判决住客个人信息跨境传输/共享案件,2024-10-15,https://www.gdzf.org.cn/xbsy/gddt/content/post_173264.html,resources/legal/cn-review/snapshots/gdzf_2024_guangzhou_hotel_crossborder_personal_info_case.html,yes,review|general,争议事实+裁判要点,并非标准合同备案场景,P1,广东政法网,司法案例,案例参考,不直接写入正式报告,广州互联网法院判决案例用于补充个人信息跨境争议中的司法观点，但并非标准合同备案的直接实践样本。,文档审查、一般合规,cn-review,/knowledge/cases/CN-CASE-005
CN-CASE-006,judicial_case_set,medium,cn-guangdong,广东省举报中心（转载广州互联网法院）,广州互联网法院个人信息保护典型案例集,2022-03-15,https://www.gdjubao.cn/aqjs/content/post_1336.html,resources/legal/cn-review/snapshots/gdjubao_2022_guangzhou_personal_info_typical_cases.html,partial,review,典型场景与裁判观点,跨境条款样本有限,P2,广东省举报中心（转载广州互联网法院）,司法案例,案例参考,不直接写入正式报告,典型案例集适合作为个人信息保护审查中的司法态度参考，不宜直接替代跨境路径规范依据。,文档审查、一般合规,cn-review,/knowledge/cases/CN-CASE-006
CN-CASE-007,policy_stats,high,cn-national,CAC,数据出境安全管理政策问答（含通过数量等统计口径）,2025-04-09,https://www.cac.gov.cn/2025-04/09/c_1745906286623776.htm,resources/legal/cn-assessment/snapshots/cac_2025_04_09_policy_qa.html,yes,assessment|diagnosis,全国层面统计+审查重点,不提供合同正文,P0,CAC,实践统计,案例参考,不直接写入正式报告,政策问答中的统计口径可用于说明全国层面的安全评估推进情况和监管重点变化。,评估申报、路径判断,cn-assessment,/knowledge/cases/CN-CASE-007
EU-CASE-001,official_regulation,high,eu-eu,EUR-Lex,GDPR Article 35 data protection impact assessment requirements,2016-04-27,https://eur-lex.europa.eu/eli/reg/2016/679/oj,resources/legal/eu-dpia/snapshots/eu_gdpr_art35_reference.md,yes,dpia,法规条文与解释材料,当前仓库仅有查询用基准样本法规正文待补,P0,EUR-Lex,典型案例,案例参考,不直接写入正式报告,GDPR Article 35 参考材料用于 DPIA 触发条件、必要性与相称性分析的案例化说明。,DPIA草案,eu-dpia,/knowledge/cases/EU-CASE-001
EU-CASE-002,official_guidance,high,eu-eu,EDPB,GDPR Article 47 binding corporate rules requirements,2018-06-01,https://edpb.europa.eu/our-work-tools/our-documents/recommendations/recommendations-20221-controller-bcrs-article-47-gdpr_en,resources/legal/eu-bcr/snapshots/eu_gdpr_art47_bcr_reference.md,yes,bcr,指南与条文映射,当前仓库仅有查询用基准样本法规正文待补,P0,EDPB,典型案例,案例参考,不直接写入正式报告,GDPR Article 47 / BCR 参考材料用于 BCR 审核中的条文映射和结构性要求说明。,BCR审核,eu-bcr,/knowledge/cases/EU-CASE-002
EU-CASE-003,official_guidance,high,eu-eu,EDPB,EDPB Recommendations 01/2020 transfer impact assessment supplementary measures,2021-06-18,https://edpb.europa.eu/system/files/2021-06/edpb_recommendations_202001vo.2.0_supplementarymeasurestransferstools_en.pdf,resources/legal/eu-tia/snapshots/eu_edpb_012020_tia_reference.md,yes,tia,指导意见与评估步骤,当前仓库仅有查询用基准样本法规正文待补,P0,EDPB,典型案例,案例参考,不直接写入正式报告,EDPB 01/2020 参考材料用于 TIA 方法论、补充措施和第三国法律分析步骤说明。,TIA草案,eu-tia,/knowledge/cases/EU-CASE-003
