case_id,case_type,publicity_level,jurisdiction,source_org,case_title,publish_date,url,snapshot_path,usable_for_validation,expected_module,available_artifacts,limitations,priority
CN-CASE-001,official_practice,high,cn-beijing,开放北京/北京市网信部门,北京落地全国首个数据出境安全评估和首个标准合同合规出境案例,2024-04-30,https://open.beijing.gov.cn/html/kfdt/sddt/2024/4/1714380251022.html,doc/knowledge/raw/cases/beijing_2024_first_security_assessment_and_standard_contract_case.html,yes,diagnosis|assessment|scc,官方事实描述+流程信息,无完整合同正文和企业底稿,P0
CN-CASE-002,official_practice,high,cn-beijing,开放北京,拜耳（中国）通过数据跨境绿色通道（安全评估案例）,2025-03-19,https://open.beijing.gov.cn/html/kfdt/sddt/2025/3/1742369936095.html,doc/knowledge/raw/cases/beijing_2025_03_bayer_green_channel_case.html,yes,assessment,企业场景摘要+监管通过事实,无申报材料原文,P0
CN-CASE-003,official_stats,high,cn-beijing,开放北京,北京数据跨境流动便利化2.0阶段性统计与实践,2025-03-25,https://open.beijing.gov.cn/html/kfdt/sddt/2025/3/1742899849483.html,doc/knowledge/raw/cases/beijing_2025_03_crossborder_reform_2_0_stats.html,partial,assessment|scc,统计指标+场景类型,不含可逐条审查合同文本,P1
CN-CASE-004,official_practice,medium,cn-beijing,开放北京,汽车OTA场景标准合同备案实践（示例）,2025-06-30,https://open.beijing.gov.cn/html/kfdt/sddt/2025/6/1751279759421.html,doc/knowledge/raw/cases/beijing_2025_06_automotive_ota_crossborder_case.html,yes,scc,场景描述+办理路径,条款级细节不完整,P1
CN-CASE-005,judicial_case,medium,cn-guangdong,广东政法网,广州互联网法院判决住客个人信息跨境传输/共享案件,2024-10-15,https://www.gdzf.org.cn/xbsy/gddt/content/post_173264.html,doc/knowledge/raw/cases/gdzf_2024_guangzhou_hotel_crossborder_personal_info_case.html,yes,review|general,争议事实+裁判要点,并非标准合同备案场景,P1
CN-CASE-006,judicial_case_set,medium,cn-guangdong,广东省举报中心（转载广州互联网法院）,广州互联网法院个人信息保护典型案例集,2022-03-15,https://www.gdjubao.cn/aqjs/content/post_1336.html,doc/knowledge/raw/cases/gdjubao_2022_guangzhou_personal_info_typical_cases.html,partial,review,典型场景与裁判观点,跨境条款样本有限,P2
CN-CASE-007,policy_stats,high,cn-national,CAC,数据出境安全管理政策问答（含通过数量等统计口径）,2025-04-09,https://www.cac.gov.cn/2025-04/09/c_1745906286623776.htm,doc/knowledge/raw/cn_regulations/cac_2025_04_09_policy_qa.html,yes,assessment|diagnosis,全国层面统计+审查重点,不提供合同正文,P0
EU-CASE-001,official_regulation,high,eu-eu,EUR-Lex,GDPR Article 35 data protection impact assessment requirements,2016-04-27,https://eur-lex.europa.eu/eli/reg/2016/679/oj,doc/knowledge/raw/cases/eu_gdpr_art35_reference.md,yes,dpia,法规条文与解释材料,当前仓库仅有查询用基准样本法规正文待补,P0
EU-CASE-002,official_guidance,high,eu-eu,EDPB,GDPR Article 47 binding corporate rules requirements,2018-06-01,https://edpb.europa.eu/our-work-tools/our-documents/recommendations/recommendations-20221-controller-bcrs-article-47-gdpr_en,doc/knowledge/raw/cases/eu_gdpr_art47_bcr_reference.md,yes,bcr,指南与条文映射,当前仓库仅有查询用基准样本法规正文待补,P0
EU-CASE-003,official_guidance,high,eu-eu,EDPB,EDPB Recommendations 01/2020 transfer impact assessment supplementary measures,2021-06-18,https://edpb.europa.eu/system/files/2021-06/edpb_recommendations_202001vo.2.0_supplementarymeasurestransferstools_en.pdf,doc/knowledge/raw/cases/eu_edpb_012020_tia_reference.md,yes,tia,指导意见与评估步骤,当前仓库仅有查询用基准样本法规正文待补,P0
US-CASE-001,official_regulation,high,us-federal,US Department of Justice,EO 14117 restricted transactions sensitive personal data countries of concern,2024-12-27,https://www.federalregister.gov/documents/2024/12/27/2024-31474/preventing-access-to-us-sensitive-personal-data-and-government-related-data-by-countries-of,doc/knowledge/raw/cases/us_eo_14117_reference.md,yes,cn_flow,联邦规则与实施口径,当前仓库仅有查询用基准样本法规正文待补,P0
US-CASE-002,official_regulation,high,us-california,California Attorney General,CPRA right to limit use of sensitive personal information and consumer rights,2023-03-29,https://oag.ca.gov/privacy/ccpa,doc/knowledge/raw/cases/us_cpra_reference.md,yes,cpra,法规条文与监管说明,当前仓库仅有查询用基准样本法规正文待补,P0
