source_id,layer,jurisdiction,path,doc_type,title,source_org,authority_level,publish_date,effective_date,status,url,snapshot_path,usage_priority,notes
CN-LAW-001,legal_rules,cn,all,law,中华人民共和国网络安全法（2025修正）,CAC,official,2025-12-29,2025-12-29,effective,https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm,doc/knowledge/raw/cn_regulations/cac_2025_12_29_cybersecurity_law.html,P0,基础法层
CN-LAW-002,legal_rules,cn,all,law,中华人民共和国数据安全法,CAC,official,2021-06-11,2021-09-01,effective,https://www.cac.gov.cn/2021-06/11/c_1624994566919140.htm,doc/knowledge/raw/cn_regulations/cac_2021_06_11_data_security_law.html,P0,基础法层
CN-LAW-003,legal_rules,cn,all,law,中华人民共和国个人信息保护法,CAC,official,2021-08-20,2021-11-01,effective,https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm,doc/knowledge/raw/cn_regulations/cac_2021_08_20_pipl.html,P0,基础法层
CN-REG-004,legal_rules,cn,assessment,administrative_regulation,数据出境安全评估办法,CAC,official,2022-07-07,2022-09-01,effective,https://www.cac.gov.cn/2022-07/07/c_1658811536594644.htm,doc/knowledge/raw/cn_regulations/cac_2022_07_07_security_assessment_measures.html,P0,安全评估核心规则
CN-REG-005,legal_rules,cn,scc,administrative_regulation,个人信息出境标准合同办法,CAC,official,2023-02-24,2023-06-01,effective,https://www.cac.gov.cn/2023-02/24/c_1678884831596384.htm,doc/knowledge/raw/cn_regulations/cac_2023_02_24_standard_contract_measures.html,P0,标准合同核心规则
CN-REG-006,legal_rules,cn,all,administrative_regulation,促进和规范数据跨境流动规定（发布页）,CAC,official,2024-03-22,2024-03-22,effective,https://www.cac.gov.cn/2024-03/22/c_1712776612187994.htm,doc/knowledge/raw/cn_regulations/cac_2024_03_22_crossborder_regulation_release.html,P0,总分流规则
CN-REG-007,legal_rules,cn,all,administrative_regulation,促进和规范数据跨境流动规定（全文页）,CAC,official,2024-03-22,2024-03-22,effective,https://www.cac.gov.cn/2024-03/22/c_1712776611775634.htm,doc/knowledge/raw/cn_regulations/cac_2024_03_22_crossborder_regulation_fulltext.html,P0,建议作为RAG主入口
CN-REG-008,legal_rules,cn,all,administrative_regulation,网络数据安全管理条例,CAC,official,2024-09-30,2025-01-01,effective,https://www.cac.gov.cn/2024-09/30/c_1729384452307680.htm,doc/knowledge/raw/cn_regulations/cac_2024_09_30_network_data_security_regulation.html,P1,补充规则边界
CN-GUIDE-009,guidance,cn,assessment,guide,数据出境安全评估申报指南（第三版）,CAC,official,2025-06-27,2025-06-27,effective,https://www.cac.gov.cn/2025-06/27/c_1752652339765002.htm,doc/knowledge/raw/cn_regulations/cac_2025_06_27_assessment_guide_v3_release.html,P0,评估材料与流程口径
CN-GUIDE-010,guidance,cn,scc,guide,个人信息出境标准合同备案指南（第二版）,TJCAC(转载中国网信网),authoritative,2024-08-23,2024-08-23,effective,https://www.tjcac.gov.cn/wsfw/sjkj/grxxcjbzht/202408/t20240823_6705573.html,doc/knowledge/raw/cn_regulations/tjcac_2024_08_standard_contract_filing_guide_v2.html,P0,备案材料清单与格式
CN-QA-011,guidance,cn,scc,qa,《个人信息出境标准合同办法》答记者问,CAC,official,2023-02-24,2023-02-24,effective,https://www.cac.gov.cn/2023-02/24/c_1678884829601935.htm,doc/knowledge/raw/cn_regulations/cac_2023_02_24_standard_contract_qa.html,P1,解释条款适用边界
CN-QA-012,practice_stats,cn,assessment,qa,数据出境安全管理政策问答（2025年4月）,CAC,official,2025-04-09,2025-04-09,effective,https://www.cac.gov.cn/2025-04/09/c_1745906286623776.htm,doc/knowledge/raw/cn_regulations/cac_2025_04_09_policy_qa.html,P0,含阶段性统计口径
CN-QA-013,practice_stats,cn,assessment,qa,数据出境安全管理政策问答（2025年5月）,CAC,official,2025-05-30,2025-05-30,effective,https://www.cac.gov.cn/2025-05/30/c_1750315283722063.htm,doc/knowledge/raw/cn_regulations/cac_2025_05_30_policy_qa.html,P0,含最新政策解释口径
CN-OPS-014,process,cn,assessment|scc,contact_list,各地省级网信部门申报/备案联系方式,CAC,official,2023-11-03,2023-11-03,effective,https://www.cac.gov.cn/2023-11/03/c_1700672263791309.htm,doc/knowledge/raw/cn_regulations/cac_2023_11_03_contact_list.html,P1,流程落地支持
CN-GOV-015,legal_rules,cn,scc,gov_republish,个人信息出境标准合同办法（中国政府网转载）,gov.cn,official,2023-11-11,2023-06-01,effective,https://www.gov.cn/zhengce/202311/content_6917770.htm,doc/knowledge/raw/cn_regulations/govcn_2023_standard_contract_measures.html,P1,政府口径交叉校验
EU-LAW-001,legal_rules,eu,all,law,GDPR (EU) 2016/679,EUR-Lex,official,2016-04-27,2018-05-25,effective,https://eur-lex.europa.eu/eli/reg/2016/679/oj,doc/knowledge/raw/eu_regulations/eurlex_gdpr_2016_679_excerpts.md,P0,EU跨境合规核心法
EU-GUIDE-002,guidance,eu,all,guide,EDPB Recommendations 01/2020,EDPB,official,2021-06-18,2021-06-18,effective,https://edpb.europa.eu/system/files/2021-06/edpb_recommendations_202001vo.2.0_supplementarymeasurestransferstools_en.pdf,doc/knowledge/raw/eu_regulations/edpb_recommendations_01_2020_excerpts.md,P0,TIA分析与补充措施框架
US-FED-001,legal_rules,us,all,administrative_regulation,U.S. DOJ Rule implementing EO 14117,Federal Register,official,2024-12-27,2025-04-08,effective,https://www.govinfo.gov/content/pkg/FR-2025-01-08/pdf/FR-2025-01-08.pdf,doc/knowledge/raw/us_regulations/fr_2025_01_08_eo14117_excerpts.md,P0,对华数据流动限制核心规则
US-CA-001,legal_rules,us,all,law,California CPRA/CCPA,California AG,official,2023-03-29,2023-01-01,effective,https://oag.ca.gov/privacy/ccpa,doc/knowledge/raw/us_regulations/ca_oag_cpra_excerpts.md,P0,CPRA消费者权利与企业义务
