source_id,CSV title,CSV doc_type,CSV authority,CSV publish_date,CSV effective_date,PDF path,PDF SHA-256,PDF 首页原文标题,PDF 发布机关,PDF 版本/生效日期,当前绑定结论,建议处置,专家意见,审核人,审核日期
JP-LAW-008,日本电气通信事业法（2024年修订版）,law,high,2024-06-12,2024-12-01,resources/legal/sources/jp/references/B01_2_网络安全基本法_日本e-Gov官方 2026年10月1日生效.pdf,276038880859bc5c398182a8068fdb7d9a3fcb1d235ed08a576c4d2009a7b12e,平成二十六年法律第百四号 / サイバーセキュリティ基本法 / 目次,,生效,CSV『电气通信事业法』vs PDF 首页『サイバーセキュリティ基本法（平成26年法律第104号）』，为两部不同法律（电信事业法≠网络安全基本法）；真正电气通信事业法 PDF 缺失，B01_2 网络安全基本法需另行建立 source 或改名,create_new_source,,,
JP-LAW-009,日本重要经济安保信息保护与利用法（2024年）,law,high,2024-05-10,2025-05-15,,,,,,CSV 有记录但无对应 PDF，正文无法核验；须找到官方 PDF、登记官方 HTML 快照，或降级为 metadata-only/停用，不能把其他日本安全相关 PDF 临时绑定过去,quarantine,,,
JP-GUIDE-004,日本个人信息保护法通则指南（2022年修订）,guideline,medium,2022-04-01,2022-04-01,resources/legal/sources/jp/references/A04_个人信息保护基本方针_日本政府PPC官方PDF.pdf,2fb1bf2a44f42d3ffae5547cee85fe30b8eb58c5b1ce4914fd1185f006225a14,個人情報の保護に関する基本方針 / 平成１６年 ４月 ２日 / 閣議決定,日本政府（内阁）、日本个人信息保护委员会（PPC）,,CSV『通则指南』vs PDF 首页『個人情報の保護に関する基本方針（阁议决定）』，基本方针≠通则；正确 PDF 应为 A05『ガイドライン（通則編）』，JP 指南块整体偏移一位,correct_metadata,,,
JP-GUIDE-005,日本个人信息保护法境外提供指南（2022年修订）,guideline,medium,2022-04-01,2022-04-01,resources/legal/sources/jp/references/A05_个人信息保护法指引（通则）_PPC官方PDF_2026-06-14施行.pdf,0d8b670c90f2e26815b430234e3218a7220819bb7037b0a7116fe61225a76977,個人情報の保護に関する法律についてのガイドライン / （通則編） / 平成28 年 11 月,日本个人信息保护委员会（PPC）,施行,CSV『境外提供指南』vs PDF 首页『ガイドライン（通則編）』，通则≠境外；正确 PDF 应为 A06『外国第三者提供編』,correct_metadata,,,
JP-GUIDE-006,日本个人信息保护法第三方提供记录指南（2022年修订）,guideline,medium,2022-04-01,2022-04-01,resources/legal/sources/jp/references/A06_境外第三方提供指引_PPC官方PDF_2025-12修订.pdf,d97bdffaba32f1f72d72316fb1b3ae16a1fe007694aa351b2489ae6bb1ed0d5b,個人情報保護法ガイドライン（外国第三者提供編） / 個人情報の保護に関する法律についてのガイドライン / （外国にある第三者への提供編）,日本个人信息保护委员会（PPC）,修订,CSV『第三方提供记录指南』vs PDF 首页『ガイドライン（外国第三者提供編）』，境外提供≠记录；正确 PDF（第三者提供记录编）缺失，A06 应归属 JP-GUIDE-005,correct_metadata,,,
JP-GUIDE-007,日本个人信息保护法匿名加工信息指南（2022年修订）,guideline,medium,2022-04-01,2022-04-01,resources/legal/sources/jp/references/A07_欧盟英国充分性接收数据补充规则_PPC官方PDF.pdf,a58ece9db17a29d8df30b2f5fa2edc4c6484d91188de7feadb84a746a1d4bea1,Supplementary Rules under the Act on the Protection of Personal Information / for the Handling of Personal Data Transferred from the EU and the United / Kingdom based on an Adequacy Decision,日本个人信息保护委员会（PPC）,,CSV『匿名加工信息指南』vs PDF 首页『Supplementary Rules … EU/UK Adequacy Decision』，完全无关；正确 PDF（匿名加工信息编）缺失，A07 欧盟/英国充分性需另行建立 source,correct_metadata,,,
KR-GUIDE-004,韩国个人信息处理指南（2024年）,guideline,medium,2024-10-01,2024-10-01,resources/legal/sources/kr/references/A04_2_个人信息安全措施标准_正文_PIPC官方附件_2026-07-01.pdf,f1565c46f950087ce5a62c3c1826bd9fb8a655b39c7d8dec9fdae3513212eaca,법제처                                                            1                                                   국가법령정보센터 / 개인정보의 안전성 확보조치 기준 / 개인정보의 안전성 확보조치 기준,韩国个人信息保护委员会（PIPC）、韩国国家法令信息中心、韩国法制处,正文,CSV『个人信息处理指南』vs PDF 首页『개인정보의 안전성 확보조치 기준（安全措施标准）』，类型与内容不符；A04_2 安全措施标准需另行建立 source 或改名,correct_metadata,,,
KR-GUIDE-005,韩国移动App个人信息保护指南（2024年）,guideline,medium,2024-06-01,2024-06-01,resources/legal/sources/kr/references/A06_标准个人信息保护指针_PIPC官方PDF_2025-04-11.pdf,b133d05116c32818a9a50c5123c91ee9a5423b419edb2258521d436002256a06,법제처                                                            1                                                   국가법령정보센터 / 표준 개인정보 보호지침 / 표준 개인정보 보호지침,韩国个人信息保护委员会（PIPC）、韩国国家法令信息中心、韩国法制处,,CSV『移动App指南』vs PDF 首页『표준 개인정보 보호지침（标准个人信息保护指针）』，疑似错绑；A06 标准指针需另行建立 source 或改名,correct_metadata,,,
KR-GUIDE-006,韩国儿童个人信息保护指南（2024年）,guideline,medium,2024-06-01,2024-06-01,,,,,,CSV 有记录但无对应 PDF；A06 首页实际为『标准个人信息保护指针（2025-04-11）』，不能充当儿童指南；须先确认『儿童个人信息保护指南』是否真实存在、官方名称与版本,quarantine,,,
KR-LAW-007,韩国网络利用促进与信息保护法（2024年修订版）,law,high,2024-01-23,2024-07-24,resources/legal/sources/kr/references/B01_信息通信基础保护法(法律)(第20068号)_2025-01-24.pdf,8b6f4c6c38b55170b62bdabe076d84e3a1e095ad2f491787cea075a925e01ff2,법제처                                                            1                                                       국가법령정보센터 / 정보통신기반 보호법 / 정보통신기반 보호법,韩国国家法令信息中心、韩国法制处,,CSV『网络利用促进与信息保护法』（=정보통신망 이용촉진 및 정보보호 등에 관한 법률）vs PDF 首页『정보통신기반 보호법（信息通信基础保护法）』，为两部不同韩国法律，高风险错绑；正确 PDF 缺失，B01 信息通信基础保护法需另行建立 source,create_new_source,,,
JP-REG-003,日本个人信息保护法实施令（2021年政令第311号）,administrative_regulation,high,2021-08-18,2022-04-01,resources/legal/sources/jp/references/A02_个人信息保护法施行令_日本e-Gov官方.pdf,d504f69ca68839fac3690f209979b64824406c9163457b5bcd5f311a4f50a056,平成十五年政令第五百七号 / 個人情報の保護に関する法律施行令 / 内閣は、個人情報の保護に関する法律（平成十五年法律第五十七号）第二条第二項第二号、第三項第四号及び第五項、第二十四条第一項,日本个人信息保护委员会（PPC）,施行,绑定基本正确（施行令→A02），但 CSV『2021年政令第311号』与 PDF 首页『平成15年政令第507号』不一致，政令号疑似陈旧/版本混淆，须专家核对,correct_metadata,,,
KR-GUIDE-003,韩国个人信息跨境传输指南（2024年）,guideline,medium,2024-09-15,2024-09-15,resources/legal/sources/kr/references/A03_个人信息跨境转移运行等规定_国家法令信息中心官方.pdf,3904f94e6472b7c5ce4d24c9102e99b16d394dd0d325816b551d54ec0a7b6a95,법제처                                                            1                                                   국가법령정보센터 / 개인정보 국외 이전 운영 등에 관한 규정 / 개인정보 국외 이전 운영 등에 관한 규정,韩国个人信息保护委员会（PIPC）、韩国国家法令信息中心、韩国法制处,,主题正确（跨境转移→A03），但 PDF 首页为『개인정보 국외 이전 운영 등에 관한 규정』（规定/고시），CSV 标题『指南』与 doc_type『guideline』均误，应改为规定/告示类,correct_metadata,,,
ORPHAN-JP-B01_1,,,,,,resources/legal/sources/jp/references/B01_1_网络安全基本法_日本e-Gov官方 2026年10月1日失效.pdf,7063ddd881ab54b29c3ce4615a40a205debb485d5c1f0a48956478906996be66,平成二十六年法律第百四号 / サイバーセキュリティ基本法 / 目次,,失效,日本《网络安全基本法》失效版，无 source 归属；应与 B01_2 建立版本关系，当前检索仅允许 B01_2，历史时点审计才允许查询失效版,link_as_version,,,
ORPHAN-KR-A04_1,,,,,,resources/legal/sources/kr/references/A04_1_个人信息安全措施标准_附表_风险降低保护措施示例_PIPC官方附件_2026-07-01.pdf,9a2a191cd6011c26b6efb4d73c91ed4ec3309b01af3c8a495a9d1166cdd70a47,"【별표】 위험을 감소시킬 수 있는 보호조치 예시 (제6조의2 관련)구분 보호조치 예시1. 개인정보 파일을 다운로드 할 수 있는 개인정보취급자의 컴퓨터 등◇ 개인정보처리시스템 접속 시 안전한 인증수단 적용◇ 개인정보 파일 저장 시 안전한 암호 알고리즘으로 암호화◇ 개인정보 다운로드 건수 제한◇ 개인정보 다운로드 권한을 가진 개인정보취급자 최소화◇ 개인정보 출력시 마스킹, 안심번호 등 표시제한 조치 적용2. 개인정보 파일을 파기할 수 있는 개인정보취급자의 컴퓨터 등 ◇ 개인정보 파기 권한을 가진 개인정보취급자 최소화◇ 개인정보 파기시 관리자 등으로부터 별도 승인을 받도록 설정※ “예시”는 개인정보처리자가 개인정보에 대한 접근을 통제하기 위해 필요한 조치를 마련하는 과정에서 ‘필요한 조치’에 해당하는지를 판단할 때 적용해야 하는 안전조치 사례로, 실제 사례에서는 구체적 사실관계에 따라 필요한 부분을 선별적으로 적용할 수 있음",韩国个人信息保护委员会（PIPC）,附表,韩国《个人信息安全措施标准》附表，非独立法律；应作为 A04_2 正文附件（relation=annex），引用应能表达为正文第六条之二附表,link_as_annex,,,
