source_id,layer,jurisdiction,path,doc_type,title,source_org,authority_level,publish_date,effective_date,status,url,snapshot_path,usage_priority,notes,module,category,usage,binding_force,authority,publisher,suitable_for,report_usage,summary,knowledge_url
CN-LAW-001,legal_rules,cn,all,law,中华人民共和国网络安全法（2025修正）,CAC,official,2025-12-29,2025-12-29,effective,https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2025_12_29_cybersecurity_law.html,P0,基础法层,cn-diagnosis,核心法律,审查基准,mandatory,high,国家互联网信息办公室,路径判断、文档审查、评估申报,可直接引用条文号,网络安全法是中国数据跨境合规的基础法之一，用于界定关键信息基础设施、网络运行安全义务和跨境场景中的底层安全要求。,/knowledge/sources/CN-LAW-001
CN-LAW-002,legal_rules,cn,all,law,中华人民共和国数据安全法,CAC,official,2021-06-11,2021-09-01,effective,https://www.cac.gov.cn/2021-06/11/c_1624994566919140.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2021_06_11_data_security_law.html,P0,基础法层,cn-diagnosis,核心法律,审查基准,mandatory,high,国家互联网信息办公室,路径判断、评估申报、文档审查,可直接引用条文号,数据安全法提供数据分类分级、重要数据识别和数据安全治理的一般框架，是判断重要数据出境义务的核心依据。,/knowledge/sources/CN-LAW-002
CN-LAW-003,legal_rules,cn,all,law,中华人民共和国个人信息保护法,CAC,official,2021-08-20,2021-11-01,effective,https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2021_08_20_pipl.html,P0,基础法层,cn-diagnosis,核心法律,审查基准,mandatory,high,国家互联网信息办公室,路径判断、文档审查、评估申报、标准合同,可直接引用条文号,个人信息保护法是个人信息跨境处理的总法基础，用于判断个人信息定义、敏感个人信息、单独同意、个人权利和跨境提供规则。,/knowledge/sources/CN-LAW-003
CN-REG-004,legal_rules,cn,assessment,administrative_regulation,数据出境安全评估办法,CAC,official,2022-07-07,2022-09-01,effective,https://www.cac.gov.cn/2022-07/07/c_1658811536594644.htm,doc/knowledge/cn-assessment/snapshots/cac_2022_07_07_security_assessment_measures.html,P0,安全评估核心规则,cn-assessment,部门规章,审查基准,mandatory,high,国家互联网信息办公室,评估申报,可直接引用条文号,《数据出境安全评估办法》是中国安全评估路径的核心规范，用于判定触发门槛、申报义务和审查重点。,/knowledge/sources/CN-REG-004
CN-REG-005,legal_rules,cn,scc,administrative_regulation,个人信息出境标准合同办法,CAC,official,2023-02-24,2023-06-01,effective,https://www.cac.gov.cn/2023-02/24/c_1678884831596384.htm,doc/knowledge/cn-review/snapshots/cac_2023_02_24_standard_contract_measures.html,P0,标准合同核心规则,cn-review,部门规章,审查基准,mandatory,high,国家互联网信息办公室,标准合同、文档审查,可直接引用条文号,《个人信息出境标准合同办法》规定了标准合同路径的适用条件、备案义务和配套评估要求，是标准合同审查与备案的主依据。,/knowledge/sources/CN-REG-005
CN-REG-006,legal_rules,cn,all,administrative_regulation,促进和规范数据跨境流动规定（发布页）,CAC,official,2024-03-22,2024-03-22,effective,https://www.cac.gov.cn/2024-03/22/c_1712776612187994.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2024_03_22_crossborder_regulation_release.html,P0,总分流规则,cn-diagnosis,部门规章,审查基准,mandatory,high,国家互联网信息办公室,路径判断,可直接引用条文号,《促进和规范数据跨境流动规定》发布页用于确认新规出台背景与生效口径，可辅助说明路径调整依据。,/knowledge/sources/CN-REG-006
CN-REG-007,legal_rules,cn,all,administrative_regulation,促进和规范数据跨境流动规定（全文页）,CAC,official,2024-03-22,2024-03-22,effective,https://www.cac.gov.cn/2024-03/22/c_1712776611775634.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2024_03_22_crossborder_regulation_fulltext.html,P0,建议作为RAG主入口,cn-diagnosis,部门规章,审查基准,mandatory,high,国家互联网信息办公室,路径判断、评估申报、标准合同,可直接引用条文号,《促进和规范数据跨境流动规定》全文是当前中国数据出境三条路径分流判断的核心依据，应用于豁免、标准合同和安全评估的路径判断。,/knowledge/sources/CN-REG-007
CN-REG-008,legal_rules,cn,all,administrative_regulation,网络数据安全管理条例,CAC,official,2024-09-30,2025-01-01,effective,https://www.cac.gov.cn/2024-09/30/c_1729384452307680.htm,doc/knowledge/cn-diagnosis/snapshots/cac_2024_09_30_network_data_security_regulation.html,P1,补充规则边界,cn-diagnosis,部门规章,条文匹配,mandatory,high,国家互联网信息办公室,路径判断、文档审查,可直接引用条文号,《网络数据安全管理条例》补充了网络数据处理活动中的安全治理边界，适合用于合同条款审查和一般性合规论证。,/knowledge/sources/CN-REG-008
CN-GUIDE-009,guidance,cn,assessment,guide,数据出境安全评估申报指南（第三版）,CAC,official,2025-06-27,2025-06-27,effective,https://www.cac.gov.cn/2025-06/27/c_1752652339765002.htm,doc/knowledge/cn-assessment/snapshots/cac_2025_06_27_assessment_guide_v3_release.html,P0,评估材料与流程口径,cn-assessment,官方指南,审查基准,recommended,high,国家互联网信息办公室,评估申报,可附带解释说明,《数据出境安全评估申报指南（第三版）》细化了申报流程、材料准备和表单口径，是安全评估交付物组织的重要操作性依据。,/knowledge/sources/CN-GUIDE-009
CN-GUIDE-010,guidance,cn,scc,guide,个人信息出境标准合同备案指南（第二版）,TJCAC(转载中国网信网),authoritative,2024-08-23,2024-08-23,effective,https://www.tjcac.gov.cn/wsfw/sjkj/grxxcjbzht/202408/t20240823_6705573.html,doc/knowledge/cn-review/snapshots/tjcac_2024_08_standard_contract_filing_guide_v2.html,P0,备案材料清单与格式,cn-review,官方指南,审查基准,recommended,high,天津网信办（转载中国网信网）,标准合同、文档审查,可附带解释说明,《个人信息出境标准合同备案指南（第二版）》细化了标准合同备案流程、材料要求和格式口径，用于支持标准合同路径落地。,/knowledge/sources/CN-GUIDE-010
