module,source_image,row_or_step,field_code,field_name,input_method,data_format,required,report_section,description,confidence
2.2,2.2.1.png,A,A,境内处理者基础信息,Web表单,文本字段,是,（一）1 基本情况介绍,填写境内公司主体基本信息,高
2.2,2.2.1.png,B,B,自评估工作信息,Web表单,文本描述,是,自评估工作情况,填写发起时间组织架构实施方式,中
2.2,2.2.1.png,C,C,数据出境场景,动态表单,结构化多条,是,（二）2,按场景填写业务目的合法性必要性范围,中
2.2,2.2.1.png,D,D,出境数据清单,Excel上传或在线表格,表格字段,是,（二）3 数据项清单表,需包含数据项名称内容描述业务场景是否个人信息是否敏感信息出境必要性示例,高
2.2,2.2.1.png,E,E,系统与链路信息,Web表单加附件,文本加图,是,（二）4,填写境内外存储位置传输方式并上传链路图,中
2.2,2.2.1.png,F,F,安全保障能力,Web表单加附件,文本加制度文件,是,（三）,填写管理制度与技术措施并附证明,中
2.2,2.2.1.png,G,G,境外接收方信息,Web表单,文本字段,是,（四）,填写接收方名称所在地关系处理目的方式与安全能力,高
2.2,2.2.1.png,H,H,法律文件,文件上传,PDF或DOCX,是,（五）,上传标准合同数据处理协议隐私政策等评估依据,高
2.2,2.2.1.png,I,I,历史合规情况,Web表单,文本描述,建议,（三）4,填写是否受监管处罚及整改情况,中
2.2,2.2.1.png,J,J,个人信息保护,文件上传加描述,截图加制度文件,是,（二）1 与单独同意,提交告知同意证据与内部制度证明,中
2.3,2.3.1.png,A,A,处理者与出境活动基础信息,Web表单分步,文本字段,是,一（1）1 一（2）1 一（3）3,填写企业信息出境目的合法性基础必要性论证,高
2.3,2.3.1.png,B,B,出境个人信息清单,Excel模板上传,结构化表格,是,一（1）3（3）,字段含数据字段名业务描述数据类型是否个人信息是否敏感信息所属场景,高
2.3,2.3.1.png,C,C,系统与存储信息,Web表单可附件,文本加图,是,一（1）3（4）,填写境内外存储系统数据中心位置传输方式并可上传架构图,高
2.3,2.3.1.png,D,D,境外接收方信息,Web表单,文本字段,是,一（二）境外接收方情况,填写接收方名称国家关系处理目的与方式,高
2.3,2.3.1.png,E,E,法律文件,文件上传,PDF或DOCX,是,评估依据,上传标准合同或处理协议及隐私政策,高
2.3,2.3.1.png,F,F,合规证据,文件上传加描述,截图与制度文件,是,一（1）4 与一（3）2,提交单独同意证据与内部管理制度,高
2.3,2.3.1.png,G,G,自我评估与整改情况,Web表单引导式评估,问卷,建议,二,基于办法第五条进行符合性评估与整改填写,中
3.2,3.2.png,结构完整性,3.2-C1,EDPB核心章节覆盖检查,审查打分,是或否,是,报告主体,检查是否覆盖约束力责任范围原则权利TIA更新机制,高
3.2,3.2.png,法律约束力,3.2-C2,集团内部约束力,审查打分,明确或模糊,是,报告主体,是否通过集团内部协议形成对成员实体约束,高
3.2,3.2.png,法律约束力,3.2-C3,第三方受益人权利,审查打分,是或否,是,报告主体,是否可被数据主体强制执行,高
3.2,3.2.png,责任与赔偿,3.2-C4,欧盟责任主体,审查打分,是或否,是,报告主体,是否明确欧盟实体承担责任与赔偿,高
3.2,3.2.png,数据保护原则,3.2-C5,合法性基础具体性,审查打分,具体或笼统,是,报告主体,是否明确同意合法利益合同履行等基础,高
3.2,3.2.png,数据保护原则,3.2-C6,对外再传输限制,审查打分,明确或模糊,是,报告主体,是否对Onward Transfer限制充分,高
3.2,3.2.png,第三国法律TIA,3.2-C7,目的地法律风险评估义务,审查打分,是或否,是,报告主体,是否承诺持续评估第三国法律实践,高
3.2,3.2.png,第三国法律TIA,3.2-C8,政府访问请求通知义务,审查打分,是或否,是,报告主体,是否规定收到请求后及时通知与挑战机制,高
3.2,3.2.png,可读性与可执行性,3.2-C9,文本清晰性,审查打分,清晰或晦涩,是,报告主体,是否存在术语不一致和难以执行表达,中
3.2,3.2.png,可读性与可执行性,3.2-C10,内部执行机制,审查打分,具体或笼统,是,报告主体,培训审计投诉处理DPO角色是否明确,中
3.3,3.3.png,1 识别背景,3.3-1.1,DPIA评估对象名称,短文本,文本,是,步骤1,填写组织或项目名称,中
3.3,3.3.png,1 识别背景,3.3-1.2,描述待评估处理活动,段落文本,文本,是,步骤1,说明业务与数据处理活动背景,中
3.3,3.3.png,1 识别背景,3.3-1.3,触发DPIA原因,多选文本,文本,是,步骤1,说明高风险处理触发依据,中
3.3,3.3.png,2 描述处理,3.3-2.1,数据处理活动描述,文件上传加描述,文本加附件,是,步骤2,描述处理对象流程系统边界,中
3.3,3.3.png,2 描述处理,3.3-2.2,处理业务场景,问答或下拉,结构化,是,步骤2,覆盖处理目的使用场景,中
3.3,3.3.png,2 描述处理,3.3-2.3,是否含特殊类别数据,单选,是或否,是,步骤2,识别敏感数据与高风险处理,高
3.3,3.3.png,2 描述处理,3.3-2.4,预计数据主体数量,下拉选择,范围值,是,步骤2,填写员工客户供应商等规模,中
3.3,3.3.png,2 描述处理,3.3-2.5,数据来源,短文本,文本,是,步骤2,说明直接收集或第三方来源,中
3.3,3.3.png,2 描述处理,3.3-2.6,接收者与跨境传输情况,单选加描述,结构化,是,步骤2,说明EEA内外接收方与传输路径,中
3.3,3.3.png,3 评估合法性,3.3-3.1,处理合法性评估,单选加备注,结构化,是,步骤3,按法律基础逐项评估,中
3.3,3.3.png,3 评估合法性,3.3-3.2,目的限制与最小化评估,单选加备注,结构化,否,步骤3,检查必要性与比例原则,中
3.3,3.3.png,3 评估合法性,3.3-3.3,替代方案分析,单选加文本,结构化,否,步骤3,比较低风险替代方案,中
3.3,3.3.png,4 必要性与比例性,3.3-4.1,合法性基础匹配,单选,是或否,是,步骤4,核验处理活动与法律基础一致,中
3.3,3.3.png,4 必要性与比例性,3.3-4.2,处理是否必要,段落文本,文本,是,步骤4,说明为何实现目的必须该处理,中
3.3,3.3.png,4 必要性与比例性,3.3-4.3,可行替代方案说明,段落文本,文本,否,步骤4,说明替代方案不可行原因,中
3.3,3.3.png,5 识别评估风险,3.3-5.1,已识别风险,列表文本,列表,是,步骤5,按主体权利与安全事件分类风险,中
3.3,3.3.png,5 识别评估风险,3.3-5.2,风险发生可能性,下拉选择,高中低,是,步骤5,每项风险给出概率等级,中
3.3,3.3.png,5 识别评估风险,3.3-5.3,风险影响等级,下拉选择,高中低,是,步骤5,每项风险给出影响等级,中
3.3,3.3.png,6 缓解风险,3.3-6.1,控制措施,段落加附件,文本加文件,是,步骤6,填写技术组织措施与责任人,中
3.3,3.3.png,7 监督与复核,3.3-7.1,DPO意见,短文本,文本,是,步骤7,记录DPO或隐私负责人的意见,高
3.3,3.3.png,7 监督与复核,3.3-7.2,需否咨询监管机构,段落文本,文本,否,步骤7,说明咨询条件与决策结论,中
3.4,3.4.png,1 了解传输,3.4-1.1,数据出口方名称,短文本,文本,是,步骤1,例如XYZ欧洲有限公司,高
3.4,3.4.png,1 了解传输,3.4-1.2,数据进口方名称,短文本,文本,是,步骤1,例如ABC科技有限公司,高
3.4,3.4.png,1 了解传输,3.4-1.3,出口方所在国家地区,下拉选择,枚举,是,步骤1,例如英国或德国,高
3.4,3.4.png,1 了解传输,3.4-1.4,传输主要目的,段落文本,文本,是,步骤1,IT支持云存储客户服务等,高
3.4,3.4.png,1 了解传输,3.4-1.5,传输数据类别,列表文本,列表,是,步骤1,员工或客户或系统日志,高
3.4,3.4.png,1 了解传输,3.4-1.6,是否含特殊类别或敏感数据,单选,是或否,是,步骤1,GDPR第9条数据或敏感数据,高
3.4,3.4.png,1 了解传输,3.4-1.7,涉及数据主体类别,多选,枚举,是,步骤1,员工客户供应商,高
3.4,3.4.png,1 了解传输,3.4-1.8,传输频率,下拉选择,枚举,是,步骤1,一次性偶尔定期,高
3.4,3.4.png,2 识别传输工具,3.4-2.1,本次传输合规工具,单选,枚举,是,步骤2,SCC或BCR或49豁免,高
3.4,3.4.png,2 识别传输工具,3.4-2.2,是否需要TIA,自动判断显示,布尔,是,步骤2,根据工具类型自动提示,高
3.4,3.4.png,3 评估目的地法律与实践,3.4-3.1,是否已评估目的地法律,单选,是已评估否未评估,是,步骤3,用于审计追踪,高
