source_path,asset_type,jurisdiction_family,target_module,target_layer,target_path,sync_status,notes
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务1：“合规路径诊断”路径描述及测试案例/“合规路径诊断”功能说明与路径描述（标注Reference）.docx",spec,cn,cn-diagnosis,spec,"doc/knowledge/cn-diagnosis/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务1：“合规路径诊断”路径描述及测试案例/“合规路径诊断”测试案例及预期输出.docx",test_case,cn,cn-diagnosis,test-cases,"doc/knowledge/cn-diagnosis/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务1：“合规路径诊断”路径描述及测试案例/我国数据出境三条路径的流程描述.docx",flow_spec,cn,cn-diagnosis,spec,"doc/knowledge/cn-diagnosis/spec.md",synced,"流程说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务2：“安全评估路径”路径描述及测试案例/“安全评估路径”功能说明与路径描述（标注Reference）.docx",spec,cn,cn-assessment,spec,"doc/knowledge/cn-assessment/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务2：“安全评估路径”路径描述及测试案例/“安全评估路径”测试案例及预期输出.docx",test_case,cn,cn-assessment,test-cases,"doc/knowledge/cn-assessment/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务3：“认证标准合同路径”路径描述及测试案例/“认证_标准合同路径”功能说明与路径描述（标注Reference）.docx",spec,cn,cn-pipia,spec,"doc/knowledge/cn-pipia/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务3：“认证标准合同路径”路径描述及测试案例/“认证_标准合同路径”测试案例及预期输出.docx",test_case,cn,cn-pipia,test-cases,"doc/knowledge/cn-pipia/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”功能说明与路径描述.docx",spec,cn,cn-review,spec,"doc/knowledge/cn-review/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/“文档专项智能审查”测试案例及预期输出.docx",test_case,cn,cn-review,test-cases,"doc/knowledge/cn-review/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/个人信息出境标准合同【模板】.docx",template_sample,cn,cn-review,references,"doc/knowledge/cn-review/references/个人信息出境标准合同【模板】.docx",synced,"保留为文审样例模板"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/数据处理协议样例.pdf",sample_doc,cn,cn-review,references,"doc/knowledge/cn-review/references/数据处理协议样例.pdf",synced,"保留为文审样例文书"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/数据安全及保密协议（模板） (1).docx",template_sample,cn,cn-review,references,"doc/knowledge/cn-review/references/数据安全及保密协议（模板） (1).docx",synced,"保留为文审样例模板"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/隐私政策样例.PNG",sample_image,cn,cn-review,references,"doc/knowledge/cn-review/references/隐私政策样例.PNG",synced,"保留为文审图像样例"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径Reference库清单.docx",reference_catalog,cn,shared-cn,_index,"doc/knowledge/_index/spec_asset_manifest.csv",indexed_only,"作为来源清单依据，已纳入资产清单，不单独前端展示"
